Tên địa điểm,Mô tả,Tỉnh thành,Thể loại,Link google map,ID Ảnh URL địa điểm
Cầu Long Biên,"Cầu Long Biên là một trong những cây cầu cổ kính và nổi tiếng nhất của thủ đô Hà Nội, được xây dựng từ năm 1898 dưới thời Pháp thuộc, do hãng Eiffel thiết kế. Với kiến trúc thép dạng dầm nổi bật, cây cầu từng được mệnh danh là “cây cầu thép đầu tiên bắc qua sông Hồng”, và từng đóng vai trò huyết mạch trong vận chuyển hàng hóa, quân sự suốt nhiều giai đoạn lịch sử, đặc biệt là trong kháng chiến chống Mỹ. Ngày nay, cầu Long Biên không chỉ là một công trình giao thông mà còn là biểu tượng văn hóa – nơi người dân và du khách tìm đến để cảm nhận vẻ đẹp hoài cổ của Hà Nội, chụp ảnh, đi bộ, đạp xe hoặc ngắm bình minh và hoàng hôn tuyệt đẹp trên sông Hồng. Dù trải qua bao thăng trầm, cây cầu vẫn sừng sững như một chứng nhân lịch sử, chất chứa bao ký ức và tình cảm của người Hà Nội.",Hà Nội,"Công trình kiến trúc, Cầu","https://www.google.com/maps/place/C%E1%BA%A7u+Long+Bi%C3%AAn/@21.0439375,105.8600625,17z/data=!3m1!4b1!4m6!3m5!1s0x3135abd94594e25d:0x91a4728ed29b1b76!8m2!3d21.0439375!4d105.8600625!16s%2Fm%2F03c_32q?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1XuJTnlprsdNJDxa6Ig1xhJ0_dfVvv7ZR
Phố ẩm thực Hà Nội,"Phố ẩm thực Hà Nội là điểm đến không thể bỏ lỡ với bất kỳ ai yêu thích khám phá văn hóa ẩm thực Việt. Nơi đây hội tụ tinh hoa của nền ẩm thực thủ đô qua hàng trăm món ngon đặc trưng như phở, bún chả, bánh cuốn, nem rán, chè truyền thống... Mỗi con phố – như phố Tống Duy Tân, phố Hàng Buồm, hay phố Chân Cầm – đều mang một màu sắc riêng, nhộn nhịp, hấp dẫn từ sáng sớm đến tối muộn.",Hà Nội,"Phố ẩm thực, Ẩm thực","https://www.google.com/maps/search/Ph%E1%BB%91+%E1%BA%A9m+th%E1%BB%B1c+H%C3%A0+N%E1%BB%99i/@21.0439375,105.8600625,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1mQLak_WUR2YD1mvHsVhy5rBqDh1mL1Uz
Vườn Bách Thảo,"Vườn Bách Thảo Hà Nội là một trong những công viên lâu đời và xanh mát nhất Thủ đô, nằm gần Lăng Chủ tịch Hồ Chí Minh. Đây là nơi bảo tồn nhiều loài cây quý hiếm, cả trong nước và nhập từ nước ngoài, tạo nên một không gian yên bình, trong lành giữa lòng thành phố. Với những lối đi rợp bóng cây, hồ nước nhỏ và tiếng chim hót ríu rít, Vườn Bách Thảo là điểm đến lý tưởng cho người dân thư giãn, đi bộ, đạp xe, hoặc picnic cuối tuần. Không chỉ có giá trị sinh học, nơi đây còn là mảng xanh quý giá góp phần điều hòa khí hậu và mang đến cảm giác gần gũi với thiên nhiên giữa phố thị đông đúc.",Hà Nội,"Thiên nhiên, Công viên, Hồ, Picnic","https://www.google.com/maps/place/1+%C4%90.+Ho%C3%A0ng+Hoa+Th%C3%A1m,+Ng%E1%BB%8Dc+H%E1%BB%93,+Ba+%C4%90%C3%ACnh,+H%C3%A0+N%E1%BB%99i,+Vi%E1%BB%87t+Nam/@21.0399078,105.8293079,18.94z/data=!4m15!1m8!3m7!1s0x3135aba5d92a8d39:0x39f253209d33ae59!2zMSDEkC4gSG_DoG5nIEhvYSBUaMOhbSwgTmfhu41jIEjhu5MsIEJhIMSQw6xuaCwgSMOgIE7hu5lpLCBWaeG7h3QgTmFt!3b1!8m2!3d21.0397959!4d105.8296833!16s%2Fg%2F11csj0ptnd!3m5!1s0x3135aba5d92a8d39:0x39f253209d33ae59!8m2!3d21.0397959!4d105.8296833!16s%2Fg%2F11csj0ptnd?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1Am5iWQgEE4ebo40ubzmvsuvavoWIfPvK
Khu di tích Hoàng thành Thăng Long,"Khu di tích Hoàng thành Thăng Long là một quần thể di tích lịch sử quan trọng bậc nhất tại Hà Nội, được UNESCO công nhận là Di sản Văn hóa Thế giới. Nơi đây từng là trung tâm chính trị, quân sự và văn hóa của các triều đại phong kiến Việt Nam suốt hơn một thiên niên kỷ. Với kiến trúc cổ kính, các tầng lớp khảo cổ độc đáo và không gian rộng lớn, Hoàng thành Thăng Long không chỉ mang giá trị lịch sử sâu sắc mà còn là điểm đến hấp dẫn cho du khách trong và ngoài nước muốn tìm hiểu về quá khứ hào hùng của dân tộc.",Hà Nội,"Di tích lịch sử, Địa điểm nổi tiếng, Công trình kiến trúc","https://www.google.com/maps/search/Khu+di+t%C3%ADch+Ho%C3%A0ng+th%C3%A0nh+Th%C4%83ng+Long/@21.0359233,105.8397747,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1tIVxQzoOrEQWQdwmyRAIKH0squWn7Sps
Làng gốm Bát Tràng,"Làng gốm Bát Tràng nằm ven sông Hồng, nổi tiếng với nghề làm gốm truyền thống có lịch sử hàng trăm năm. Du khách đến đây không chỉ được chiêm ngưỡng và mua các sản phẩm thủ công tinh xảo mà còn có thể tự tay trải nghiệm làm gốm.",Hà Nội,"Làng nghề truyền thống, Địa điểm nổi tiếng, Địa điểm tham quan miễn phí, Mua sắm","https://www.google.com/maps/place/L%C3%A0ng+g%E1%BB%91m+B%C3%A1t+Tr%C3%A0ng/@20.9769304,105.879036,14z/data=!4m10!1m2!2m1!1zTMOgbmcgZ-G7kW0gQsOhdCBUcsOgbmc!3m6!1s0x3135afa57ac82a29:0xbb2f62a917c8830!8m2!3d20.977379!4d105.913623!15sChdMw6BuZyBn4buRbSBCw6F0IFRyw6BuZ1oZIhdsw6BuZyBn4buRbSBiw6F0IHRyw6BuZ5IBEnRvdXJpc3RfYXR0cmFjdGlvbuABAA!16s%2Fg%2F11llhpxskj?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1Ozni_R01JjC35ofHwQv13-enVstPijqo
Chợ Đồng Xuân,"Chợ Đồng Xuân là khu chợ lớn và lâu đời nhất Hà Nội, nổi tiếng với các mặt hàng truyền thống, vải vóc, quà lưu niệm và ẩm thực đường phố. Đây là nơi lý tưởng để du khách trải nghiệm nét sinh hoạt đặc trưng của người Hà Nội.",Hà Nội,"Chợ truyền thống, Mua sắm","https://www.google.com/maps/place/Ch%E1%BB%A3+%C4%90%E1%BB%93ng+Xu%C3%A2n,+%C4%90%E1%BB%93ng+Xu%C3%A2n,+Ho%C3%A0n+Ki%E1%BA%BFm,+H%C3%A0+N%E1%BB%99i+100000,+Vi%E1%BB%87t+Nam/@21.0381434,105.8474638,17z/data=!3m1!4b1!4m6!3m5!1s0x3135abb8e6c24487:0xd9def483e7f217e6!8m2!3d21.0381434!4d105.8500387!16s%2Fm%2F09v1r31?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1h6xc6dGrX44ExH-7BZcu1afVdfiAn_Qg
Hồ Hoàn Kiếm,"Hồ Hoàn Kiếm, còn gọi là hồ Gươm, là một trong những biểu tượng nổi bật của thủ đô Hà Nội. Nằm giữa trung tâm thành phố, hồ mang vẻ đẹp thanh bình với làn nước xanh biếc, được bao quanh bởi những hàng cây cổ thụ và kiến trúc cổ kính. Đây không chỉ là nơi thư giãn, đi bộ của người dân và du khách, mà còn gắn liền với truyền thuyết vua Lê Lợi trả gươm thần cho Rùa Vàng – một câu chuyện thiêng liêng trong lịch sử dân tộc. Trên hồ có Tháp Rùa – biểu tượng của sự yên bình và lịch sử, cùng với Đền Ngọc Sơn nằm trên đảo Ngọc, được nối bởi cầu Thê Húc sơn đỏ cong cong nổi bật. Xung quanh hồ là phố đi bộ nhộn nhịp vào cuối tuần, nơi tổ chức nhiều hoạt động văn hóa, nghệ thuật đặc sắc.",Hà Nội,"Hồ, Danh lam thắng cảnh, Công viên, Điểm ngắm cảnh tự nhiên, Phố đi bộ, Điểm chụp ảnh đẹp, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/H%E1%BB%93+Ho%C3%A0n+Ki%E1%BA%BFm/@21.0287797,105.8497898,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab953357c995:0x1babf6bb4f9a20e!8m2!3d21.0286669!4d105.8521484!16zL20vMGdwNjV3?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1C0c5oM4OWC1s4tuYfJLABCz7Y8nQpHyd
Đền Ngọc Sơn,"Đền Ngọc Sơn là một di tích văn hóa – lịch sử nổi tiếng nằm trên đảo Ngọc trong hồ Hoàn Kiếm, Hà Nội. Được xây dựng vào thế kỷ 19, đền là nơi thờ các danh nhân văn hóa như Trần Hưng Đạo – vị tướng tài ba trong lịch sử Việt Nam, cùng Văn Xương Đế Quân – vị thần chủ văn chương. Đền Ngọc Sơn có kiến trúc hài hòa giữa yếu tố truyền thống và thiên nhiên, nổi bật với cầu Thê Húc sơn đỏ, Tháp Bút và Đài Nghiên. Đây không chỉ là nơi linh thiêng cho người dân đến dâng hương, cầu may, mà còn là điểm đến không thể bỏ qua đối với khách du lịch trong và ngoài nước khi ghé thăm Hà Nội.",Hà Nội,"Di tích lịch sử, Đền, Công trình kiến trúc, Địa điểm nổi tiếng, Điểm chụp ảnh đẹp, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/%C4%90%E1%BB%81n+Ng%E1%BB%8Dc+S%C6%A1n/@21.0311672,105.8488602,16.75z/data=!4m6!3m5!1s0x3135abc000809ea7:0xbb2716ec0282371d!8m2!3d21.0306883!4d105.8523861!16s%2Fm%2F0gtxhmt?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1ARCWW7cULvE5xWsUgpgBfRjnIry5hLeB
Phố Cổ Hà Nội,"Phố Cổ Hà Nội là một trong những khu phố lâu đời và đặc sắc nhất tại thủ đô, nằm ở quận Hoàn Kiếm. Khu vực này nổi bật với khoảng 36 phố phường, mỗi phố gắn liền với một nghề thủ công truyền thống như Hàng Mã, Hàng Đào, Hàng Bạc... Với lối kiến trúc cổ kính kiểu Pháp xen lẫn nhà ống truyền thống, cùng các ngõ nhỏ, phố hẹp đông đúc, Phố Cổ Hà Nội là nơi lưu giữ hơi thở của Hà Nội xưa. Đây là điểm đến lý tưởng để du khách khám phá văn hóa, ẩm thực đường phố đặc sắc, mua sắm thủ công mỹ nghệ và trải nghiệm cuộc sống thường nhật của người dân bản địa.",Hà Nội,"Danh lam thắng cảnh, Di tích lịch sử, Khu phố cổ, Phố đi bộ, Điểm chụp ảnh đẹp, Mua sắm, Ẩm thực, Chợ truyền thống, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/Khu+Ph%E1%BB%91+C%E1%BB%95+H%C3%A0+N%E1%BB%99i/@21.0343136,105.8491333,17.75z/data=!4m15!1m8!3m7!1s0x3135abbf21b895f7:0x641bc6c48732c7a4!2zUGjhu5EgY-G7lSBIw6AgTuG7mWksIEhvw6BuIEtp4bq_bSwgSMOgIE7hu5lpLCBWaeG7h3QgTmFt!3b1!8m2!3d21.0352664!4d105.8500124!16s%2Fg%2F11stdqkgnr!3m5!1s0x3135abbe12384aa7:0x595317f27fe2548e!8m2!3d21.034059!4d105.8506368!16s%2Fg%2F11b8tc18h5?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1A8PoU3AQtIFXqQEfZRFs8E9TdESf4Epm
Lăng Chủ tịch Hồ Chí Minh,"Lăng Chủ tịch Hồ Chí Minh là nơi an nghỉ của Chủ tịch Hồ Chí Minh – vị lãnh tụ vĩ đại của dân tộc Việt Nam. Tọa lạc tại Quảng trường Ba Đình, Hà Nội, lăng được xây dựng từ năm 1973 và hoàn thành năm 1975. Công trình mang kiến trúc trang nghiêm, kết hợp giữa phong cách Việt Nam truyền thống và hiện đại. Bên trong là thi hài của Bác Hồ được gìn giữ trang trọng. Đây không chỉ là điểm đến lịch sử linh thiêng, mà còn là nơi để người dân và du khách trong và ngoài nước bày tỏ lòng kính trọng đối với Người.",Hà Nội,"Di tích lịch sử, Địa điểm nổi tiếng, Công trình kiến trúc, Đài tưởng niệm, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/L%C4%83ng+Ch%E1%BB%A7+t%E1%BB%8Bch+H%E1%BB%93+Ch%C3%AD+Minh/@21.0369023,105.8320918,17z/data=!3m1!4b1!4m6!3m5!1s0x3135aba15ec15d17:0x620e85c2cfe14d4c!8m2!3d21.0368973!4d105.8346667!16s%2Fm%2F02xbhg7?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1WIm38PbzPe_lZTCUHrNJ4YcxcvY96Ge8
Nhà hát Lớn Hà Nội,"Nhà hát Lớn Hà Nội là một công trình kiến trúc mang phong cách Pháp cổ điển, được xây dựng từ đầu thế kỷ 20. Đây là nơi tổ chức các buổi biểu diễn nghệ thuật lớn, từ hòa nhạc cổ điển đến vở kịch truyền thống, và cũng là điểm check-in nổi bật tại trung tâm thủ đô.",Hà Nội,"Công trình kiến trúc, Địa điểm nổi tiếng, Điểm chụp ảnh đẹp","https://www.google.com/maps/place/Nh%C3%A0+h%C3%A1t+L%E1%BB%9Bn+H%C3%A0+N%E1%BB%99i/@21.0242438,105.8550505,17z/data=!3m1!4b1!4m6!3m5!1s0x3135abebf87e0011:0x647af200da508d2b!8m2!3d21.0242438!4d105.8576254!16s%2Fm%2F02pxggv?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1G74Zc5nKaKgcSFbL8n6cNfODYZu5wbeF
Nhà tù Hỏa Lò,"Nhà tù Hỏa Lò là một di tích lịch sử quan trọng của Hà Nội, từng là nơi giam giữ những chiến sĩ cách mạng trong thời kỳ Pháp thuộc. Ngày nay, nơi đây được bảo tồn như một bảo tàng sống động, phản ánh lịch sử đấu tranh của dân tộc.",Hà Nội,"Di tích lịch sử, Bảo tàng, Địa điểm nổi tiếng","https://www.google.com/maps/place/Di+t%C3%ADch+Nh%C3%A0+t%C3%B9+H%E1%BB%8Fa+L%C3%B2/@21.0253297,105.8439032,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab96aa51de95:0x9701e10bee31af54!8m2!3d21.0253297!4d105.8464781!16zL20vMG45d3A?entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1cvwbhZ2dfeAuXwMNWjAqi8461ifHA8G0
